Amino.acid.name.1.letter,AA.name,AA.abbreviation,Chemical.formula,mono mass,Average.Weight.Dalton
G,glycine,GLY,C2H3NO,57.02146374,57.05132
A,alanine,ALA,C3H5NO,71.03711381,71.0779
S,serine,SER,C3H5NO2,87.03202844,87.0773
P,proline,PRO,C5H7NO,97.05276388,97.11518
V,valine,VAL,C5H9NO,99.06841395,99.13106
T,threonine,THR,C4H7NO2,101.0476785,101.10388
C,cysteine,CYS,C3H5NOS,103.0091845,103.1429
L,leucine,LEU,C6H11NO,113.084064,113.15764
I,isoleucine,ILE,C6H11NO,113.084064,113.15764
N,asparagine,ASN,C4H6N2O2,114.0429275,114.10264
D,aspartic acid,ASP,C4H5NO3,115.0269431,115.0874
Q,glutamine,GLN,C5H8N2O2,128.0585775,128.12922
K,lysine,LYS,C6H12N2O,128.0949631,128.17228
E,glutamic acid,GLU,C5H7NO3,129.0425931,129.11398
M,methionine,MET,C5H9NOS,131.0404846,131.19606
H,histidine,HIS,C6H7N3O,137.0589119,137.13928
F,phenylalanine,PHE,C9H9NO,147.0684139,147.17386
U,selenocysteine,SEC,C3H5NOSe,150.9536334,150.3079
R,arginine,ARG,C6H12N4O,156.1011111,156.18568
Y,tyrosine,TYR,C9H9NO2,163.0633286,163.17326
W,tryptophan,TRP,C11H10N2O,186.079313,186.2099
O,pyrrolysine,PYL,C12H19N3O2,237.1477269,237.29816
