,names,scores,logfoldchanges,pvals,pvals_adj
4,CDV3,39.285103,6.111675,0.0,0.0
7,TCF4,37.899235,5.4752626,0.0,0.0
8,LINC01857,36.87793,6.887809,1.0437288757863575e-297,2.7372369616872666e-294
9,YBX3,36.48739,6.371898,1.7577654197374358e-291,4.1488537202062696e-288
10,ACTG1,33.585445,6.716359,2.7365382754162692e-247,5.871864810422746e-244
11,HLA-B,33.3202,29.367786,1.9687452154768032e-243,3.872357776741582e-240
12,PMAIP1,33.16149,5.1587367,3.8678183920611774e-241,7.022470577524613e-238
13,TMSB10,32.949486,15.04343,4.302565801054936e-238,7.253818614449976e-235
14,MYL6,32.782597,4.352993,1.0424462796371404e-235,1.6403239692183616e-232
15,ACSM3,31.95229,3.609014,5.02097708590332e-224,7.406882634911003e-221
16,CALR,31.575306,6.4133115,8.060482678827912e-219,1.119126898049266e-215
17,CD69,31.520758,8.80749,4.513213653205419e-218,5.918076769811529e-215
18,ST6GAL1,31.277803,3.544571,9.352021290012683e-215,1.1617671500429965e-211
19,COL9A3,31.112011,3.529862,1.6569775525815223e-212,1.9554820586790835e-209
20,VIM,31.107666,5.5749288,1.8970645128411445e-212,2.132210176028073e-209
21,PAK2,31.051914,3.326586,1.0749647051944643e-211,1.1532905425774973e-208
22,SERF2,30.923042,5.898511,5.8548486414505215e-210,6.008347499311159e-207
23,TLE5,29.611837,4.534919,1.052066210718631e-192,1.0346632821496603e-189
24,MCTP2,29.23712,3.4439785,6.547249079478328e-188,6.18138880091708e-185
26,CCNL1,28.724771,3.5185578,1.8717680432829074e-181,1.63627189354098e-178
28,BCL2,28.660435,3.2782142,1.188337161881128e-180,9.671835183406987e-178
29,CD37,28.063084,12.445576,2.7658829697321818e-173,2.1761045244862895e-170
30,B2M,28.052692,25.593464,3.703545952781073e-173,2.8198321007577958e-170
31,HLA-C,27.906126,14.703233,2.2483142462963246e-171,1.6583425361041296e-168
32,LYN,27.730677,3.332168,2.980359364258972e-169,2.1316794568061976e-166
33,PPIA,27.663565,5.812007,1.91687218565834e-168,1.3307039470027587e-165
35,CD52,27.44075,8.246754,8.958340031737515e-166,5.873436104697239e-163
36,CNBP,27.428827,3.1557188,1.2430011633952797e-165,7.929339583680753e-163
37,ACTB,26.923155,9.488904,1.1767093311730464e-159,7.308913248336161e-157
38,HLA-A,26.839462,13.694447,1.1196876022762947e-158,6.776406788853175e-156
39,PPIB,26.516935,3.2579563,6.182868829811984e-155,3.5593720241476163e-152
40,PLEKHG1,26.37224,2.448294,2.853251491043738e-153,1.6034594034072703e-150
41,GNAS,26.309067,4.868743,1.5102646035083391e-152,8.289947775955192e-150
42,LAPTM5,26.16474,13.743021,6.698680157086322e-151,3.593385176084283e-148
43,RAB7A,26.090939,2.5147028,4.6199199564575306e-150,2.4231993496059355e-147
44,FOXP1,25.946375,3.310185,1.9979126305665078e-148,1.0251463438969844e-145
45,FYTTD1,25.876226,2.4466913,1.233505128230424e-147,6.1945577748133396e-145
46,CKAP4,25.73903,2.6768434,4.277066467612746e-146,2.103158329897159e-143
47,SERPINB9,25.642065,4.1826844,5.183726305606856e-145,2.4969692243109925e-142
48,SPINT2,25.202785,2.353053,3.7336330655163407e-140,1.7624988249076438e-137
49,BTG2,25.092066,2.5949857,6.070864666272404e-139,2.8096199748632854e-136
50,SRP14,25.0037,3.2115858,5.572383473057486e-138,2.52932629066492e-135
51,GSTP1,24.905937,3.8342576,6.416059757157979e-137,2.857325631098109e-134
52,RNF7,24.759201,2.318438,2.4678902347444514e-135,1.0786965409383941e-132
53,S100A6,24.598383,2.787612,1.3145472082584967e-133,5.641319592095509e-131
54,PPP1CC,24.558334,2.944256,3.523374959264503e-133,1.4665097988555706e-130
55,SKIL,24.55793,2.6033955,3.558714138748296e-133,1.4665097988555706e-130
56,ETS1,24.557419,2.7065046,3.603676156997971e-133,1.4665097988555706e-130
57,IFNGR2,24.405016,2.7098248,1.5128634159922437e-131,6.052222916553377e-129
58,EEF2,24.276825,9.719847,3.4451415155403206e-130,1.355261253188303e-127
59,HLA-E,24.21271,5.3000326,1.634728806394499e-129,6.325328527431043e-127
60,RHOA,24.0908,3.019986,3.121299355777146e-128,1.188258527329161e-125
61,CLIC1,23.968288,2.2598667,5.957434339332288e-127,2.2319575033533333e-124
62,UBALD2,23.92743,3.8687646,1.5876261295023558e-126,5.855115552288141e-124
63,HVCN1,23.78899,2.752891,4.3420255666081123e-125,1.5766896838254042e-122
64,PSAP,23.696737,2.3902667,3.896137931844103e-124,1.3933415697775206e-121
65,SF3B1,23.473831,2.4478116,7.549754268642232e-122,2.6596544776531733e-119
66,PPP1R2,23.417843,2.4076805,2.8122808935666274e-121,9.761509695713692e-119
67,SEC61B,23.357471,3.0985231,1.1571386208337294e-120,3.958252589498336e-118
68,RBM38,23.274536,3.5400076,8.030194085761705e-120,2.707666728660479e-117
69,CD79A,23.258791,7.921147,1.159063597931549e-119,3.8531518453490634e-117
70,KLF2,23.05129,4.2451525,1.4277089604204158e-117,4.680307582333761e-115
71,TUBA1B,22.64554,2.2376673,1.543666499905127e-113,4.991117862638454e-111
72,TRA2B,22.489958,2.2780461,5.204950390822521e-112,1.6601681631700537e-109
73,RUBCN,22.48891,2.2533948,5.329209217167363e-112,1.677137668704017e-109
74,XRN1,22.467028,2.131089,8.723667543879953e-112,2.709272697871033e-109
75,PDIA3,22.449543,2.3690157,1.2929275231755996e-111,3.9632426401965814e-109
76,SKAP1,22.349607,2.7779198,1.2180898679691635e-110,3.685971173548227e-108
77,RHOB,22.147943,2.5110543,1.0919060364470768e-108,3.2623111618051085e-106
78,SEC62,22.13559,2.1784682,1.4362446689770036e-108,4.237460365233027e-106
79,CXXC5,22.08129,2.5335686,4.782488401630855e-108,1.3935935030085565e-105
80,MS4A1,22.073372,8.8276415,5.69805123170608e-108,1.6401354051458366e-105
81,EML6,21.984259,4.253449,4.073926025828212e-107,1.1447247141383725e-104
82,ARPC3,21.88478,3.5436106,3.627456731700852e-106,1.0072807204510025e-103
83,ATP5F1A,21.832615,2.3097963,1.1372526427280296e-105,3.1212295495708935e-103
